P(topic 1),P(topic 2),P(topic 3),P(topic 4),P(topic 5),P(topic 6),P(topic 7),P(topic 8),P(topic 9),P(topic 10)
0.000268817,0.000268837,0.00026882,0.000268833,0.000268927,0.587170866,0.000268832,0.000268833,0.410678414,0.000268821
0.000341304,0.413378967,0.000341311,0.000341299,0.042286927,0.000341333,0.000341316,0.000341318,0.541944924,0.000341301
0.000353357,0.0003534,0.000353378,0.000353357,0.588575602,0.00035337,0.000353417,0.000353371,0.408597375,0.000353373
0.000293257,0.000293275,0.000293257,0.000293255,0.643198541,0.000293282,0.000293257,0.000293276,0.354455341,0.000293259
0.000308642,0.000308681,0.000308643,0.000308655,0.577505384,0.000308647,0.000308661,0.000308642,0.420025388,0.000308657
0.000369004,0.000369039,0.000369009,0.000369023,0.553086741,0.000369031,0.000369011,0.00036905,0.443961079,0.000369012
0.000359712,0.000359762,0.000359723,0.000359739,0.544569857,0.000359738,0.000359714,0.000359723,0.45255232,0.000359713
0.000246306,0.000246325,0.000246306,0.000246308,0.639961386,0.000246313,0.000246327,0.000246308,0.358068109,0.000246312
0.000284902,0.000284914,0.000284901,0.000284924,0.575080458,0.000284921,0.0002849,0.000284903,0.42264027,0.000284907
0.00025707,0.000257104,0.000257075,0.000257074,0.481767633,0.00025709,0.000257087,0.000257071,0.516175701,0.000257094
0.000390636,0.000390695,0.000390625,0.000390664,0.65611016,0.000390657,0.000390634,0.000390625,0.340764617,0.000390688
0.000380282,0.000380261,0.000380236,0.000380235,0.590308164,0.000380259,0.000380242,0.000380229,0.40664986,0.000380232
0.000358423,0.000358452,0.000358452,0.000358424,0.569264477,0.00035843,0.000358436,0.000358423,0.427868026,0.000358456
